Name	DefiningManuscriptId	Description	Tech	Tech	OBI_ERO	Category	DB	ACC	URL	CellTissue	CellLine	Species	DOIDTerm	GOTerm	Value	Other	Notes
Affymetrix MOE430v2 vs Mouse PancChip 5.0 comparison		Comparison of two microarray platforms: the Mouse PancChip 5.0 and the Affymetrix GeneChip Mouse Genome 430 2.0 Array. The aim of this experiment was to determine the ability to identify differentially expressed genes in islet and pancreas RNA, and the sensitivity of the two platforms, using the same source material in a carefully controlled manner. RNA was extracted from adult mouse pancreas (n=5) and highly purified islet samples (n = 5). All samples were amplified once. 5 biological replicates (islets vs. pancreas) in a dye swap experimental design were hybridized to the PancChip. 3 biological replicates, using the same amplified RNA hybridized to the PancChip, of both the pancreas and islet samples were also hybridized to the GeneChip. All data were normalized using appropriate methods and differential expression between islet and pancreas was determined using PaGE with a 10% FDR. The study revealed that the PancChip is a highly cost effective alternative to the Affymetrix 430-2, that the PancChip is up to 60% more sensitive than the Affymetrix 430-2 GeneChip and that 80% (7,000) of the probe sets on the PancChip show expression in either Islets or Pancreas, while only 25% (6,800) show expression on the Affymetrix GeneChip.	immunoSEQ	transcription profiling by array	OBI_0001247	Genomics		Request		alpha-beta T cell		human			3		
Functional analysis of the Nkx2.2 SD domain: gene expression profiling of E16.5 Nkx2.2 SD mutant pancreata versus wild-type littermate pancreata		The experiment consists of 7 one channel assays for analyzing embryonic pancreas at E16.5. There are three or four replicates per condition. At E16.5, we are looking at differential gene expression across two mouse lines, WT vs Nkx2.2 SD mutants.		transcription profiling by array	OBI_0000470	Proteomics	Panorama	UFRQg2	https://panoramaweb.org/UFRQg2.url 		HMEC-1	human			1		
Gene expression profiling of wild-type, Nkx2.2 null, NeuroD null and Nkx2.2/NeuroD double KO E13.5 pancreata		The experiment consist of 16 one channel assays for analyzing embryonic pancreas at E13. There are four replicates per condition. We are looking at differential gene expression across four mouse lines: WT, Nkx2.2, NeuroD and Nkx2.2/NeuroD double mutants at E13.5.	RNA-seq	transcription profiling by array	OBI_0001271	Transcriptomics	GEO	GSE108413	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108413	islet of Langerhans		human			3		
Baseline gene expression profile of human extrahepatic biliary cells/biliospheres in vitro		Aim: To determine the baseline gene expression profile of human gallbladder and cystic duct cells at various stages from isolation in fresh biopsy samples to early and later passages in culture.	RNA-seq	RNA-seq of coding RNA	OBI_0001271	Transcriptomics		Alternate accession		medullary thymic epithelial cell		human			3	https://ars.els-cdn.com/content/image/1-s2.0-S1550413118304509-mmc3.xlsx	
Whole  transcriptome analysis of pancreatic ghrelin cells in WT and Nkx2.2 KO mouse embryo		Whole transcriptome analysis of Ghrelin-expressing and -descendant cells in pancreas from Nkx2.2 KO and WT mouse embryos.		RNA-seq of coding RNA													
Baseline miRNA expression profile of human extrahepatic biliary cells/biliospheres in vitro		Aim: To determine the baseline miRNA expression profile of human gall bladder and cystic duct cells at various stages from isolation in fresh biopsy samples to early and later passages in culture.		RNA-seq of non coding RNA													
EnhanceBeta TCPA - Enhancer marks in sorted islet cells		Performed ChIP-seq for H3K27ac and H3K4me1 in purified (FACS sorted) islet alpha and beta cell populations. These ChIP-seq experiments can be used to identify cell-type-specific enhancers.		ChIP-seq													
Pdx1 occupancy during mouse and human development		The aim of this study is to identify sites occupied by Pdx1 throughout key stages in mouse and human pancreatic development as well as during in vitro differentiation of human ES cells.		ChIP-seq													
WT vs Nkx2.2-/- (null) cells at E15.5		Whole transcriptome analysis of Ngn3-expressing cells in WT and Nkx2.2 Null mouse embryos.		RNA-seq of coding RNA													
RNA-seq of Pdx1+ mouse Islet during development		The aim of this experiment was to observe the transcriptional profile of mouse islets during development (at timepoints E18.5, P10, Adult). RNA-seq was performed on the same RNA that was used for an earlier microarray. No MARIS sorting.		RNA-seq of coding RNA													
Single-cell RNA-seq data of mammary gland epithelial cells from different gestational stages to detect and remove barcode swapping		Barcode swapping results in the mislabeling of sequencing reads between multiplexed samples on the new patterned flow cell Illumina sequencing machines. This may compromise the validity of numerous genomic assays, especially for single-cell studies where many samples are routinely multiplexed together. The severity and consequences of barcode swapping for single-cell transcriptomic studies remain poorly understood. We have used two statistical approaches to robustly quantify the fraction of swapped reads in each of two plate-based single-cell RNA sequencing datasets. We found that approximately 2.5% of reads were mislabeled between samples on the HiSeq 4000 machine, which is lower than previous reports. We observed no correlation between the swapped fraction of reads and the concentration of free barcode across plates. Further- more, we have demonstrated that barcode swapping may generate complex but artefactual cell libraries in droplet-based single-cell RNA sequencing studies. To eliminate these artefacts, we have developed an algorithm to exclude individual molecules that have swapped between samples in 10X Genomics experiments, exploiting the combinatorial complexity present in the data. This permits the continued use of cutting-edge sequencing machines for droplet-based experiments while avoiding the confounding effects of barcode swapping.  This data repository contains the sequencing files associated with the droplet based scRNA-seq dataset in Griffiths et al. (2018). The data presented here should purely used for technical analysis, the biological motivation is nonetheless briefly described in the following: The mammary gland is a unique organ as it undergoes most of its development during puberty and adulthood. Characterising the hierarchy of the various mammary epithelial cells and how they are regulated in response to gestation, lactation and involution is important for understanding how breast cancer develops. Recent studies have used numerous markers to enrich, isolate and characterise the different epithelial cell compartments within the adult mammary gland. However, in all of these studies only a handful of markers were used to define and trace cell populations. Therefore, there is a need for an unbiased and comprehensive description of mammary epithelial cells within the gland at different developmental stages. To this end we used single cell RNA sequencing (scRNAseq) to determine the gene expression profile of individual mammary epithelial cells across four adult developmental stages; nulliparous, mid gestation, lactation and post weaning (full natural involution).		RNA-seq of coding RNA from single cells													
RNA-seq of Ins+, Ucn3+/- cell populations within developmental mouse islets using MARIS		The aim of this experiment was to observe the transcriptional profile of individual populations of cells in mouse islets throughout development.  MARIS was used to isolate Ins+ islet cells at E18.5 and P13, and further separate Ucn3- and Ucn3+ populations at the transition point P4 and P5.		RNA-seq of coding RNA													
DNase-seq profile of human islet and in vitro differentiation-derived Pdx1+ cells		The aim of this experiment was to profile the DNase-I accessibility landscape of human islets and stage 3 cells within our human in vitro beta-cell differentiation protocol.		DNA-seq													
DNase-seq profile of E11.5 whole mouse embryos		The aim of this experiment was to profile the DNase-I accessibility landscape of E11.5 whole mouse embryos. Separate fractions were taken for DNA cleavages of length 50-100bp and 175-400bp.		DNA-seq													
ChIP-seq using  using Foxc1 antibodies in second branchial arch cells from E11.5 mouse embryos		Chromatin immunoprecipitation using Foxc1 antibodies in second branchial arch (IIBA) cells from E11.5 mouse embryos detected by SOLiD sequencing		ChIP-seq													
Transcription profiling by RNA-Seq mouse embryos		Mutations in the transcription factor p63 underlie of a series of human malformation syndromes which are defined by a combination of epidermal, limb and craniofacial abnormalities including cleft lip and palate. Transcription profiling was performed to determine the role of p63 in vivo mouse palatal shelves. RNA-seq analysis was done of palatal shelves dissected from E10.5, E11.5, E12.5, E13.5 and E14.5 mouse embryos.		RNA-seq of coding RNA													
Small RNA discovery in developing mouse and during human in vitro beta-cell differentiation protocol		The aim of this experiment was to identify novel, small (<600bp), capped, polyA-tailed RNA transcripts in mouse E14.5 pancreas, liver, and brain and at stages S1, S2, S3 within our human in vitro beta-cell differentiation protocol. Low-molecular-weight (LMW) and high-molecular-weight (HMW) fractions were separated.		RNA-seq of coding RNA													
High-resolution DNase-seq profiles of targeted loci in mES-derived primitive ectoderm		The aim of this experiment was to profile DNase-I accessibility at a subset of genomic regions in extremely high coverage. After DNase-I treatment, DNA fragments from specific loci were targeted using bead capture, amplified, and sequenced.		DNA-seq													
